,District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Country,Gender,Value
0,Achham,Seti,Hill,Far-Western,2068/69,2011/12,Nepal,Male,119923
1,Achham,Seti,Hill,Far-Western,2068/69,2011/12,India,Male,77
2,Achham,Seti,Hill,Far-Western,2068/69,2011/12,China,Male,1
3,Achham,Seti,Hill,Far-Western,2068/69,2011/12,Others,Male,7
4,Achham,Seti,Hill,Far-Western,2068/69,2011/12,Nepal,Female,137419
5,Achham,Seti,Hill,Far-Western,2068/69,2011/12,India,Female,27
6,Achham,Seti,Hill,Far-Western,2068/69,2011/12,China,Female,2
7,Achham,Seti,Hill,Far-Western,2068/69,2011/12,Others,Female,21
8,Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Nepal,Male,86201
9,Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,India,Male,62
10,Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,China,Male,1
11,Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Others,Male,2
12,Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Nepal,Female,111320
13,Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,India,Female,31
14,Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,China,Female,1
15,Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Others,Female,14
16,Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Nepal,Male,117799
17,Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,India,Male,178
18,Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,China,Male,1
19,Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Others,Male,19
20,Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Nepal,Female,150443
21,Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,India,Female,107
22,Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,China,Female,2
23,Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Others,Female,64
24,Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Nepal,Male,117365
25,Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,India,Male,35
26,Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,China,Male,1
27,Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Others,Male,6
28,Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Nepal,Female,133409
29,Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,India,Female,16
30,Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,China,Female,2
31,Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Others,Female,64
32,Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Nepal,Male,92746
33,Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,India,Male,40
34,Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,China,Male,0
35,Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Others,Male,8
36,Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Nepal,Female,102306
37,Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,India,Female,24
38,Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,China,Female,1
39,Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Others,Female,34
40,Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Nepal,Male,65760
41,Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,India,Male,39
42,Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,China,Male,1
43,Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Others,Male,6
44,Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Nepal,Female,69072
45,Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,India,Female,14
46,Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,China,Female,0
47,Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Others,Female,20
48,Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Nepal,Male,243279
49,Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,India,Male,930
50,Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,China,Male,0
51,Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Others,Male,46
52,Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Nepal,Female,245575
53,Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,India,Female,1371
54,Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,China,Female,4
55,Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Others,Female,108
56,Bara,Narayani,Terai,Central,2068/69,2011/12,Nepal,Male,350238
57,Bara,Narayani,Terai,Central,2068/69,2011/12,India,Male,934
58,Bara,Narayani,Terai,Central,2068/69,2011/12,China,Male,6
59,Bara,Narayani,Terai,Central,2068/69,2011/12,Others,Male,66
60,Bara,Narayani,Terai,Central,2068/69,2011/12,Nepal,Female,333125
61,Bara,Narayani,Terai,Central,2068/69,2011/12,India,Female,3117
62,Bara,Narayani,Terai,Central,2068/69,2011/12,China,Female,21
63,Bara,Narayani,Terai,Central,2068/69,2011/12,Others,Female,201
64,Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Nepal,Male,204731
65,Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,India,Male,337
66,Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,China,Male,2
67,Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Others,Male,10
