District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Area and size class of locality,Indicators,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,3182
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Male,7328
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Female,8763
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,11898
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Male,28811
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Female,33589
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,11741
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Male,29003
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Female,34229
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,11891
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Male,30876
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Female,34399
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,7408
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Male,18273
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Female,21064
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Number of localities,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Number of household,2231
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Male,5717
Achham,Seti,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Female,5425
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,1
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,426
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Male,769
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Female,1074
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,4
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,2351
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Male,4239
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Female,5854
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,13725
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Male,23993
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Female,32896
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,9481
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Male,16160
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Female,22482
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,11
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,17027
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Male,33765
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Female,41882
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  10,000 - 19,999",Number of localities,1
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  10,000 - 19,999",Number of household,3825
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  10,000 - 19,999",Male,7340
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,"  10,000 - 19,999",Female,7178
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,3
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,1143
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Male,2045
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Female,2787
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,16
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,9180
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Male,17042
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Female,22600
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,15
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,12385
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Male,22843
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Female,30305
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,10
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,10019
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Male,18813
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Female,25166
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,15
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,20936
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Male,42544
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Female,53705
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Number of localities,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Number of household,7859
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Male,14710
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Female,16053
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,3
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,1014
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Male,2207
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Female,2798
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,14
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,6745
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Male,16679
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Female,19719
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,17
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,10551
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Male,27392
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Female,31992
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,21
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,15896
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Male,42918
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Female,48133
