District,Category ,Value
Taplejung ,Geographical Area (sq.km.),3646
Taplejung ,Holding Number,23444
Taplejung ,Holding Area (ha),22327.5
Taplejung ,Household,26509
Taplejung ,Population,127461
Taplejung ,Population Land Ratio ( person per ha .),5.71
Taplejung ,Population Density (person per sq.km.),35
Panchthar ,Geographical Area (sq.km.),1241
Panchthar ,Holding Number,36664
Panchthar ,Holding Area (ha),28725.5
Panchthar ,Household,41196
Panchthar ,Population,191817
Panchthar ,Population Land Ratio ( person per ha .),6.68
Panchthar ,Population Density (person per sq.km.),155
Ilam ,Geographical Area (sq.km.),1703
Ilam ,Holding Number,57950
Ilam ,Holding Area (ha),53394.3
Ilam ,Household,64502
Ilam ,Population,290254
Ilam ,Population Land Ratio ( person per ha .),5.44
Ilam ,Population Density (person per sq.km.),170
Jhapa ,Geographical Area (sq.km.),1606
Jhapa ,Holding Number,120538
Jhapa ,Holding Area (ha),102442.6
Jhapa ,Household,184552
Jhapa ,Population,812650
Jhapa ,Population Land Ratio ( person per ha .),7.93
Jhapa ,Population Density (person per sq.km.),506
Morang ,Geographical Area (sq.km.),1855
Morang ,Holding Number,126891
Morang ,Holding Area (ha),109943
Morang ,Household,213997
Morang ,Population,965370
Morang ,Population Land Ratio ( person per ha .),8.78
Morang ,Population Density (person per sq.km.),520
Sunsari ,Geographical Area (sq.km.),1257
Sunsari ,Holding Number,86650
Sunsari ,Holding Area (ha),75141.3
Sunsari ,Household,162407
Sunsari ,Population,763487
Sunsari ,Population Land Ratio ( person per ha .),10.16
Sunsari ,Population Density (person per sq.km.),607
Dhankuta ,Geographical Area (sq.km.),891
Dhankuta ,Holding Number,31382
Dhankuta ,Holding Area (ha),25488.7
Dhankuta ,Household,37637
Dhankuta ,Population,163412
Dhankuta ,Population Land Ratio ( person per ha .),6.41
Dhankuta ,Population Density (person per sq.km.),183
Terhathum ,Geographical Area (sq.km.),679
Terhathum ,Holding Number,19608
Terhathum ,Holding Area (ha),19102.2
Terhathum ,Household,22094
Terhathum ,Population,101577
Terhathum ,Population Land Ratio ( person per ha .),5.32
Terhathum ,Population Density (person per sq.km.),150
Sankhuwasabha ,Geographical Area (sq.km.),3480
Sankhuwasabha ,Holding Number,29983
Sankhuwasabha ,Holding Area (ha),28955.6
Sankhuwasabha ,Household,34624
Sankhuwasabha ,Population,158742
Sankhuwasabha ,Population Land Ratio ( person per ha .),5.48
Sankhuwasabha ,Population Density (person per sq.km.),46
Bhojpur ,Geographical Area (sq.km.),1507
Bhojpur ,Holding Number,36832
Bhojpur ,Holding Area (ha),29775.8
Bhojpur ,Household,39419
Bhojpur ,Population,182459
Bhojpur ,Population Land Ratio ( person per ha .),6.13
Bhojpur ,Population Density (person per sq.km.),121
Solukhumbu ,Geographical Area (sq.km.),3312
Solukhumbu ,Holding Number,21478
Solukhumbu ,Holding Area (ha),19116.8
Solukhumbu ,Household,23785
Solukhumbu ,Population,105886
Solukhumbu ,Population Land Ratio ( person per ha .),5.54
Solukhumbu ,Population Density (person per sq.km.),32
Okhaldhunga ,Geographical Area (sq.km.),1074
Okhaldhunga ,Holding Number,30451
Okhaldhunga ,Holding Area (ha),28546.9
Okhaldhunga ,Household,32502
Okhaldhunga ,Population,147984
Okhaldhunga ,Population Land Ratio ( person per ha .),5.18
Okhaldhunga ,Population Density (person per sq.km.),138
Khotang ,Geographical Area (sq.km.),1591
Khotang ,Holding Number,40358
Khotang ,Holding Area (ha),31349.9
Khotang ,Household,42664
Khotang ,Population,206312
Khotang ,Population Land Ratio ( person per ha .),6.58
Khotang ,Population Density (person per sq.km.),130
Udayapur ,Geographical Area (sq.km.),2063
Udayapur ,Holding Number,54919
Udayapur ,Holding Area (ha),28162.3
Udayapur ,Household,66557
Udayapur ,Population,317532
Udayapur ,Population Land Ratio ( person per ha .),11.28
Udayapur ,Population Density (person per sq.km.),154
Saptari ,Geographical Area (sq.km.),1363
Saptari ,Holding Number,89241
Saptari ,Holding Area (ha),73907.7
Saptari ,Household,121098
Saptari ,Population,639284
Saptari ,Population Land Ratio ( person per ha .),8.65
Saptari ,Population Density (person per sq.km.),469
Siraha ,Geographical Area (sq.km.),1188
Siraha ,Holding Number,88527
Siraha ,Holding Area (ha),78797.5
Siraha ,Household,117962
Siraha ,Population,637328
Siraha ,Population Land Ratio ( person per ha .),8.09
Siraha ,Population Density (person per sq.km.),536
Dhanusa ,Geographical Area (sq.km.),1180
Dhanusa ,Holding Number,96006
Dhanusa ,Holding Area (ha),72307.2
Dhanusa ,Household,138249
Dhanusa ,Population,754777
