District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Total foreign born population,96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Less than 1 year,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,1 – 5 years,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,6 – 10 years,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,More than 10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Length of stay not stated,57
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Total foreign born population,66
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Less than 1 year,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,1 – 5 years,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,6 – 10 years,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,More than 10 years,33
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Length of stay not stated,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Total foreign born population,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Less than 1 year,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,1 – 5 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,6 – 10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,More than 10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Length of stay not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Total foreign born population,144
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Less than 1 year,0
