District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age,Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Agriculture,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Business,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Service,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Study,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Marriage,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Dependent,40
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Conflict,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Others,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Reasons not stated,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Agriculture,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Business,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Service,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Study,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Marriage,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Dependent,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Others,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Reasons not stated,26
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Agriculture,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Business,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Service,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Study,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Marriage,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Dependent,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Conflict,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Reasons not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Agriculture,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Business,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Service,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Study,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Marriage,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Dependent,88
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Conflict,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Others,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,00 - 14 Years,Reasons not stated,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Agriculture,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Business,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Service,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Study,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Marriage,72
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Dependent,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Conflict,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Reasons not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Agriculture,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Business,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Service,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Study,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Marriage,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Dependent,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Conflict,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Reasons not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Agriculture,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Business,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Service,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Study,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Marriage,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Dependent,32
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Conflict,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Others,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Reasons not stated,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Agriculture,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Business,25
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Service,33
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Study,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Marriage,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Dependent,41
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Others,49
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Reasons not stated,24
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Agriculture,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Business,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Service,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Study,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Marriage,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Dependent,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Conflict,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Others,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Reasons not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Agriculture,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Business,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Service,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Study,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Marriage,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Dependent,39
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Conflict,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Others,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Reasons not stated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Agriculture,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Business,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Service,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Study,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Marriage,128
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Dependent,56
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Conflict,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Others,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Reasons not stated,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Agriculture,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Business,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Service,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Study,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Marriage,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Dependent,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Conflict,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Others,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Reasons not stated,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Agriculture,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Business,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Service,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Study,63
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Marriage,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Dependent,92
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Conflict,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Others,28
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,00 - 14 Years,Reasons not stated,64
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Agriculture,20
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Business,64
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Service,80
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Study,18
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Marriage,11
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Dependent,134
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Conflict,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Others,114
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Reasons not stated,87
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Agriculture,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Business,9
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Service,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Study,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Marriage,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Dependent,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Conflict,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Others,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Reasons not stated,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Agriculture,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Business,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Service,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Study,80
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Marriage,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Dependent,79
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Conflict,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Others,5
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,00 - 14 Years,Reasons not stated,49
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Agriculture,25
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Business,4
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Service,37
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Study,41
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Marriage,262
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Dependent,101
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Conflict,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Others,81
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Reasons not stated,35
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Agriculture,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Business,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Service,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Study,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Marriage,10
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Dependent,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Conflict,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Others,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Reasons not stated,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Agriculture,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,00 - 14 Years,Business,0
