District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),size of person,Number
Achham,Seti,Hill,Far-Western,2068/69,2011/12,1 person,2230
Achham,Seti,Hill,Far-Western,2068/69,2011/12,2 persons,3581
Achham,Seti,Hill,Far-Western,2068/69,2011/12,3 persons,5242
Achham,Seti,Hill,Far-Western,2068/69,2011/12,4 persons,7228
Achham,Seti,Hill,Far-Western,2068/69,2011/12,5 persons,8269
Achham,Seti,Hill,Far-Western,2068/69,2011/12,6 persons,8351
Achham,Seti,Hill,Far-Western,2068/69,2011/12,7 persons,5607
Achham,Seti,Hill,Far-Western,2068/69,2011/12,8 persons,3669
Achham,Seti,Hill,Far-Western,2068/69,2011/12,9 persons and more,4174
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,1 person,2819
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,2 persons,6395
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,3 persons,9129
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,4 persons,9884
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,5 persons,8062
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,6 persons,5400
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,7 persons,2423
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,8 persons,1349
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,9 persons and more,1374
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,1 person,3786
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,2 persons,8327
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,3 persons,10819
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,4 persons,12623
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,5 persons,10273
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,6 persons,7507
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,7 persons,3622
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,8 persons,2105
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,9 persons and more,2460
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,1 person,1753
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,2 persons,2938
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,3 persons,4146
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,4 persons,6675
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,5 persons,8338
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,6 persons,7945
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,7 persons,5211
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,8 persons,3453
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,9 persons and more,4732
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,1 person,1430
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,2 persons,1975
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,3 persons,2920
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,4 persons,4458
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,5 persons,5806
