District,Zone,Geographical Region,Development Region,Year AD,Year BS,Manufacturing Company Type,No of establishment,No of persons engaged,No of employees,"Wages, Salaries and other benefits(In thousand)"
Taplejung,Mechi,Mountain,Eastern,2006/07,2063/64,Manuf. Of Paper And Paper Products,2,,,
Taplejung,Mechi,Mountain,Eastern,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,2,,,
Panchthar,Mechi,Hill,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,3,252,240,5139
Panchthar,Mechi,Hill,Eastern,2006/07,2063/64,Manuf. Of Textiles,2,,,
Panchthar,Mechi,Hill,Eastern,2006/07,2063/64,Manuf. Of Paper And Paper Products,1,,,
Ilam,Mechi,Hill,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,5,,,
Ilam,Mechi,Hill,Eastern,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,1,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,59,2923,2773,115933
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Tobacco Products,1,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Textiles,1,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Wearing Apparel; Dressing And Dyeing Of Fur,6,1226,1219,25754
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,14,565,550,20144
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",1,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,4,129,118,5476
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,2,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,15,3736,3723,22413
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",1,,,
Jhapa,Mechi,Terai,Eastern,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,32,440,380,14169
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,68,1881,1759,109568
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Tobacco Products,2,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Textiles,18,8934,8896,342435
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Wearing Apparel; Dressing And Dyeing Of Fur,1,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,"Tanning And Dressing Of Leather; Manuf. Of Luggage, Handbags, Saddlery And Harness",6,157,152,7362
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,28,253,198,8090
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Paper And Paper Products,8,185,172,7498
Morang,Kosi,Terai,Eastern,2006/07,2063/64,"Publishing, Printing And Reproduction Of Recorded Media",24,449,381,19029
Morang,Kosi,Terai,Eastern,2006/07,2063/64,"Manuf. Of Coke, Refined Petroleum Products And Nuclear",2,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,17,500,470,22539
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,36,1348,1299,81491
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Other Non-Metalic Minaral Products,19,2317,2291,48178
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Basic Metals,2,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,"Manuf. Of Structural Metal Products, Except Machinary And Equipment",15,411,392,16121
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Electrical Machinery And Apparatus N.E.C.,10,1367,1348,82344
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Motor Vehicles; Trailers And Semi-Trailers,1,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Other Transport Equipments,1,,,
Morang,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Furniture; Manuf. N.E.C.,37,630,542,22570
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Food Products And Beverages,86,2500,2312,114865
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Textiles,12,7158,7137,428089
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,"Tanning And Dressing Of Leather; Manuf. Of Luggage, Handbags, Saddlery And Harnes",5,245,228,12993
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Wood And Of Products Of Wood And Of Product Of Wood And Cork,18,211,173,7066
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Paper And Paper Products,5,220,210,10567
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manu. Of Chemicals And Chemical Products,11,520,497,32022
Sunsari,Kosi,Terai,Eastern,2006/07,2063/64,Manuf. Of Rubber And Plastics Products,9,710,693,31312
