District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-group,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,Below 10 years,162
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,10 – 14 Years,1927
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,15 – 19 Years,21215
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,20 – 24 Years,18002
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,25 – 29 Years,4190
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,30 –34 Years,797
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,35-39 Years,255
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,40 – 44 Years,75
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,45 – 49 Years,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,50 + Years,21
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,Below 10 years,686
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,10 – 14 Years,6743
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,15 – 19 Years,42517
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,20 – 24 Years,14478
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,25 – 29 Years,1643
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,30 –34 Years,313
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,35-39 Years,85
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,40 – 44 Years,41
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,45 – 49 Years,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,50 + Years,10
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,Below 10 years,196
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,10 – 14 Years,1764
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,15 – 19 Years,12186
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,20 – 24 Years,15061
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,25 – 29 Years,5557
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,30 –34 Years,1102
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,35-39 Years,297
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,40 – 44 Years,102
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,45 – 49 Years,45
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,50 + Years,28
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,Below 10 years,2285
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,10 – 14 Years,12369
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,15 – 19 Years,38218
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,20 – 24 Years,8702
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,25 – 29 Years,927
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,30 –34 Years,199
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,35-39 Years,81
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,40 – 44 Years,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,45 – 49 Years,18
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,50 + Years,4
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,Below 10 years,172
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,10 – 14 Years,1559
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,15 – 19 Years,15662
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,20 – 24 Years,22512
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,25 – 29 Years,7801
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,30 –34 Years,1691
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,35-39 Years,524
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,40 – 44 Years,178
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,45 – 49 Years,57
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,50 + Years,41
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,Below 10 years,1231
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,10 – 14 Years,8487
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,15 – 19 Years,50697
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,20 – 24 Years,19536
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,25 – 29 Years,3002
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,30 –34 Years,678
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,35-39 Years,235
