District,Vdc,Gender/Household,Number
Taplejung,Ambegudin,Total households,625
Taplejung,Ambegudin,Population Male,1442
Taplejung,Ambegudin,Population Female,1537
Taplejung,Angkhop,Total households,451
Taplejung,Angkhop,Population Male,1122
Taplejung,Angkhop,Population Female,1224
Taplejung,Chaksibote,Total households,191
Taplejung,Chaksibote,Population Male,425
Taplejung,Chaksibote,Population Female,483
Taplejung,Change,Total households,861
Taplejung,Change,Population Male,1876
Taplejung,Change,Population Female,2158
Taplejung,Dhungesanghu,Total households,746
Taplejung,Dhungesanghu,Population Male,1734
Taplejung,Dhungesanghu,Population Female,2014
Taplejung,Dokhu,Total households,909
Taplejung,Dokhu,Population Male,1940
Taplejung,Dokhu,Population Female,2171
Taplejung,Dummrise,Total households,324
Taplejung,Dummrise,Population Male,729
Taplejung,Dummrise,Population Female,830
Taplejung,Ekhabu,Total households,396
Taplejung,Ekhabu,Population Male,971
Taplejung,Ekhabu,Population Female,1061
Taplejung,Hangdewa,Total households,753
Taplejung,Hangdewa,Population Male,1683
Taplejung,Hangdewa,Population Female,1922
Taplejung,Hangpang,Total households,782
Taplejung,Hangpang,Population Male,1746
Taplejung,Hangpang,Population Female,1973
Taplejung,Kalikhola,Total households,118
Taplejung,Kalikhola,Population Male,303
Taplejung,Kalikhola,Population Female,326
Taplejung,Khamlung,Total households,319
Taplejung,Khamlung,Population Male,730
Taplejung,Khamlung,Population Female,787
Taplejung,Khejenim,Total households,480
Taplejung,Khejenim,Population Male,1186
Taplejung,Khejenim,Population Female,1220
Taplejung,Khewang,Total households,526
Taplejung,Khewang,Population Male,1283
Taplejung,Khewang,Population Female,1408
Taplejung,Khokling,Total households,693
Taplejung,Khokling,Population Male,1614
Taplejung,Khokling,Population Female,1762
Taplejung,Lelep,Total households,511
Taplejung,Lelep,Population Male,1122
Taplejung,Lelep,Population Female,1083
Taplejung,Limbudin,Total households,356
Taplejung,Limbudin,Population Male,841
Taplejung,Limbudin,Population Female,991
Taplejung,Lingtep,Total households,332
Taplejung,Lingtep,Population Male,747
Taplejung,Lingtep,Population Female,869
Taplejung,Linkhim,Total households,457
Taplejung,Linkhim,Population Male,1079
Taplejung,Linkhim,Population Female,1135
Taplejung,Liwang,Total households,359
Taplejung,Liwang,Population Male,810
Taplejung,Liwang,Population Female,943
Taplejung,Mamangkhe,Total households,240
Taplejung,Mamangkhe,Population Male,519
Taplejung,Mamangkhe,Population Female,616
Taplejung,Mehele,Total households,463
Taplejung,Mehele,Population Male,1148
Taplejung,Mehele,Population Female,1209
Taplejung,Nalbu,Total households,376
Taplejung,Nalbu,Population Male,870
Taplejung,Nalbu,Population Female,979
Taplejung,Nangkholyang,Total households,809
Taplejung,Nangkholyang,Population Male,1722
Taplejung,Nangkholyang,Population Female,2046
Taplejung,Nidhuradin,Total households,511
Taplejung,Nidhuradin,Population Male,1117
Taplejung,Nidhuradin,Population Female,1384
Taplejung,Olangchung Gola,Total households,62
Taplejung,Olangchung Gola,Population Male,127
Taplejung,Olangchung Gola,Population Female,112
Taplejung,Papung,Total households,316
Taplejung,Papung,Population Male,794
Taplejung,Papung,Population Female,827
Taplejung,Pedang,Total households,344
Taplejung,Pedang,Population Male,815
Taplejung,Pedang,Population Female,886
Taplejung,Phakumba,Total households,693
Taplejung,Phakumba,Population Male,1647
Taplejung,Phakumba,Population Female,1829
Taplejung,Phawakhola,Total households,260
Taplejung,Phawakhola,Population Male,589
Taplejung,Phawakhola,Population Female,714
Taplejung,Phulbari,Total households,734
Taplejung,Phulbari,Population Male,1675
Taplejung,Phulbari,Population Female,1855
Taplejung,Phungling,Total households,3571
Taplejung,Phungling,Population Male,7108
Taplejung,Phungling,Population Female,7866
Taplejung,Phurumbu,Total households,493
Taplejung,Phurumbu,Population Male,1145
Taplejung,Phurumbu,Population Female,1268
Taplejung,Sadewa,Total households,211
Taplejung,Sadewa,Population Male,515
Taplejung,Sadewa,Population Female,533
Taplejung,Sanghu,Total households,755
Taplejung,Sanghu,Population Male,1813
Taplejung,Sanghu,Population Female,2000
Taplejung,Santhakra,Total households,533
Taplejung,Santhakra,Population Male,1178
Taplejung,Santhakra,Population Female,1416
Taplejung,Sanwa,Total households,501
Taplejung,Sanwa,Population Male,1095
Taplejung,Sanwa,Population Female,1315
Taplejung,Sawandin,Total households,297
Taplejung,Sawandin,Population Male,676
Taplejung,Sawandin,Population Female,785
Taplejung,Sablakhu,Total households,432
Taplejung,Sablakhu,Population Male,997
Taplejung,Sablakhu,Population Female,1136
Taplejung,Sikaicha,Total households,417
Taplejung,Sikaicha,Population Male,1066
Taplejung,Sikaicha,Population Female,1184
Taplejung,Sinam,Total households,461
Taplejung,Sinam,Population Male,977
Taplejung,Sinam,Population Female,1116
Taplejung,Surumkhim,Total households,339
Taplejung,Surumkhim,Population Male,851
Taplejung,Surumkhim,Population Female,903
Taplejung,Tapethok,Total households,322
Taplejung,Tapethok,Population Male,719
Taplejung,Tapethok,Population Female,741
Taplejung,Tellok,Total households,449
Taplejung,Tellok,Population Male,1013
Taplejung,Tellok,Population Female,1214
Taplejung,Thechambu,Total households,702
Taplejung,Thechambu,Population Male,1552
Taplejung,Thechambu,Population Female,1834
Taplejung,Thinglabu,Total households,491
Taplejung,Thinglabu,Population Male,1153
Taplejung,Thinglabu,Population Female,1323
Taplejung,Thukimma,Total households,527
Taplejung,Thukimma,Population Male,1131
Taplejung,Thukimma,Population Female,1365
Taplejung,Thumbedin,Total households,454
Taplejung,Thumbedin,Population Male,1076
Taplejung,Thumbedin,Population Female,1191
Taplejung,Tiringe,Total households,354
Taplejung,Tiringe,Population Male,791
Taplejung,Tiringe,Population Female,912
Taplejung,Yamfudin,Total households,165
