District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Less than 1 year,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,1-5 years,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,6-10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,More than 10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Length of stay not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Less than 1 year,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,1-5 years,33
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,6-10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,More than 10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Length of stay not stated,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Less than 1 year,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,1-5 years,57
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,6-10 years,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,More than 10 years,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Length of stay not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Less than 1 year,59
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,1-5 years,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,6-10 years,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,More than 10 years,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Length of stay not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Less than 1 year,51
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,1-5 years,86
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,6-10 years,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,More than 10 years,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Length of stay not stated,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Less than 1 year,73
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,1-5 years,130
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,6-10 years,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,More than 10 years,41
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Length of stay not stated,73
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Less than 1 year,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,1-5 years,55
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,6-10 years,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,More than 10 years,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Length of stay not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Less than 1 year,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,1-5 years,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,6-10 years,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,More than 10 years,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Length of stay not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Less than 1 year,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,1-5 years,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,6-10 years,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,More than 10 years,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Length of stay not stated,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Less than 1 year,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,1-5 years,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,6-10 years,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,More than 10 years,31
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Length of stay not stated,0
