District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Agriculture,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Business,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Service,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Study,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Marriage,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Dependent,23
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Conflict,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Others,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Reasons not Stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Agriculture,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Business,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Service,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Study,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Marriage,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Dependent,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Conflict,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Others,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Reasons not Stated,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Agriculture,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Business,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Service,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Study,40
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Marriage,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Dependent,49
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Conflict,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Others,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Reasons not Stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Agriculture,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Business,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Service,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Study,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Marriage,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Dependent,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Conflict,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Others,50
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Reasons not Stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Agriculture,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Business,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Service,94
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Study,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Marriage,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Dependent,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Conflict,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Others,26
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Reasons not Stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Agriculture,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Business,89
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Service,162
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Study,0
