District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicators,Number
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Household,48351
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Area in Sq.km.,1680
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Average Household size,5.33
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Household,46835
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Area in Sq.km.,1193
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Average Household size,4.22
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Household,61522
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Area in Sq.km.,1784
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Average Household size,4.37
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Household,45191
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Area in Sq.km.,1519
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Average Household size,5.55
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Household,33786
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Area in Sq.km.,3422
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Average Household size,5.78
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Household,24908
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Area in Sq.km.,2188
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Average Household size,5.42
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Household,94773
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Area in Sq.km.,2337
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Average Household size,5.18
Bara,Narayani,Terai,Central,2068/69,2011/12,Household,108635
Bara,Narayani,Terai,Central,2068/69,2011/12,Area in Sq.km.,1190
Bara,Narayani,Terai,Central,2068/69,2011/12,Average Household size,6.33
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Household,83176
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Area in Sq.km.,2025
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Average Household size,5.13
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Household,68636
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Area in Sq.km.,119
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Average Household size,4.44
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Household,39419
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Area in Sq.km.,1507
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Average Household size,4.63
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Household,132462
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Area in Sq.km.,2218
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Average Household size,4.38
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Household,27045
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Area in Sq.km.,1538
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,Average Household size,5.25
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Household,48919
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Area in Sq.km.,1502
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Average Household size,5.35
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Household,116415
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Area in Sq.km.,2955
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Average Household size,4.75
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Household,24618
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Area in Sq.km.,2322
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,Average Household size,5.41
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Household,73851
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Area in Sq.km.,1926
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Average Household size,4.55
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Household,37637
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Area in Sq.km.,891
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Average Household size,4.34
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Household,138249
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Area in Sq.km.,1180
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Average Household size,5.46
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Household,45688
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Area in Sq.km.,2191
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Average Household size,4.08
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Household,7488
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Area in Sq.km.,7889
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Average Household size,4.9
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Household,41440
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Area in Sq.km.,2025
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Average Household size,5.11
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Household,66506
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Area in Sq.km.,3610
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Average Household size,4.08
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Household,64921
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Area in Sq.km.,1149
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Average Household size,4.32
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Household,9479
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Area in Sq.km.,5655
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Average Household size,5.37
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Household,64502
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Area in Sq.km.,1703
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Average Household size,4.5
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Household,30472
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Area in Sq.km.,2230
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Average Household size,5.62
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Household,184552
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Area in Sq.km.,1606
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Average Household size,4.4
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Household,19303
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Area in Sq.km.,2531
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Average Household size,5.64
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Household,142480
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Area in Sq.km.,3235
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Average Household size,5.44
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Household,23013
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Area in Sq.km.,1741
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Average Household size,5.95
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Household,82152
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Area in Sq.km.,1610
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Average Household size,5.49
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Household,91321
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Area in Sq.km.,1738
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Average Household size,6.26
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Household,125673
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Area in Sq.km.,2017
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Average Household size,3.92
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Household,436344
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Area in Sq.km.,395
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Average Household size,4
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,Household,80720
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,Area in Sq.km.,1396
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,Average Household size,4.73
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Household,42664
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Area in Sq.km.,1591
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Average Household size,4.84
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Household,109797
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Area in Sq.km.,385
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Average Household size,4.26
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Household,42079
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Area in Sq.km.,1692
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Average Household size,3.99
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Household,111316
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Area in Sq.km.,1002
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Average Household size,5.64
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Household,86127
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Area in Sq.km.,2426
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Average Household size,4.88
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Household,1480
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Area in Sq.km.,2246
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Average Household size,4.42
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Household,213997
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Area in Sq.km.,1855
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Average Household size,4.51
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Household,9619
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Area in Sq.km.,3535
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Average Household size,5.75
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Household,3354
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Area in Sq.km.,3573
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Average Household size,4.01
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Household,27762
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Area in Sq.km.,2297
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Average Household size,4.09
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Household,128793
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Area in Sq.km.,2162
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Average Household size,5
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Household,59215
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Area in Sq.km.,1121
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Average Household size,4.69
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Household,32502
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Area in Sq.km.,1074
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Average Household size,4.55
