District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Indicator,Sub-Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Currently going to school,Male,2156
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Currently going to school,Female,2035
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Not currently going to school,Male,2081
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Not currently going to school,Female,2052
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,School attendence not Stated,Male,161
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,School attendence not Stated,Female,165
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Currently going to school,Male,2996
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Currently going to school,Female,2788
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Not currently going to school,Male,1101
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Not currently going to school,Female,1236
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,School attendence not Stated,Male,87
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,School attendence not Stated,Female,117
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Currently going to school,Male,3039
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Currently going to school,Female,3053
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Not currently going to school,Male,609
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Not currently going to school,Female,685
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,School attendence not Stated,Male,59
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,School attendence not Stated,Female,58
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Currently going to school,Male,3792
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Currently going to school,Female,3628
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Not currently going to school,Male,465
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Not currently going to school,Female,548
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,School attendence not Stated,Male,49
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,School attendence not Stated,Female,58
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Currently going to school,Male,3055
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Currently going to school,Female,2964
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Not currently going to school,Male,267
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Not currently going to school,Female,326
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,School attendence not Stated,Male,38
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,School attendence not Stated,Female,47
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Currently going to school,Male,4053
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Currently going to school,Female,3935
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Not currently going to school,Male,267
