District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Sex,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Male,1361
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Male,786
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Male,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 Year,Male,64
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Male,1362
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Male,1625
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Male,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,06 Year,Male,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Male,820
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Male,2230
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Male,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Male,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,07 Year,Male,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Male,594
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Male,3217
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Male,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Male,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,08 Year,Male,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Male,263
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Male,2803
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Male,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Male,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Male,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,09 Year,Male,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Male,163
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Male,3867
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Male,87
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Male,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Male,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 Year,Male,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,11 Year,Male,60
Achham,Seti,Hill,Far-Western,2068/69,2011/12,11 Year,Male,2762
Achham,Seti,Hill,Far-Western,2068/69,2011/12,11 Year,Male,237
Achham,Seti,Hill,Far-Western,2068/69,2011/12,11 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,11 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,11 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,11 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,11 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,11 Year,Male,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,11 Year,Male,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,11 Year,Male,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,12 Year,Male,44
Achham,Seti,Hill,Far-Western,2068/69,2011/12,12 Year,Male,3547
Achham,Seti,Hill,Far-Western,2068/69,2011/12,12 Year,Male,941
Achham,Seti,Hill,Far-Western,2068/69,2011/12,12 Year,Male,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,12 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,12 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,12 Year,Male,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,12 Year,Male,0
