District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Sub-Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Population aged 5 years & above,,19881
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Same district,,19612
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Other district,Total,41
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Other district,Rural,41
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Foreign country,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Place not stated,,220
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Population aged 5 years & above,,19099
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Same district,,18783
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Other district,Total,73
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Other district,Rural,49
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Other district,Not stated,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Place not stated,,243
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Population aged 5 years & above,,12370
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Same district,,12185
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Other district,Total,59
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Other district,Rural,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Other district,Urban,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Other district,Not stated,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Foreign country,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Place not stated,,126
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Population aged 5 years & above,,8027
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Same district,,7779
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Other district,Total,154
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Other district,Rural,103
