District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Caste/Ethnicity,Gender,In number
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Chhetree,Male,66837
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Chhetree,Female,76097
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Brahman - Hill,Male,12289
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Brahman - Hill,Female,13983
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kami,Male,11340
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kami,Female,12933
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Damai/Dholi,Male,3714
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Damai/Dholi,Female,4355
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Thakuri,Male,3018
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Thakuri,Female,3328
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Sarki,Male,753
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Sarki,Female,909
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Magar,Male,850
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Magar,Female,771
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Lohar,Male,434
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Lohar,Female,518
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Badi,Male,374
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Badi,Female,409
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dashnami/Sanyasi,Male,244
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dashnami/Sanyasi,Female,263
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bangali,Male,216
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bangali,Female,233
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Majhi,Male,155
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Majhi,Female,167
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tamang,Male,137
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tamang,Female,153
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Musalman,Male,154
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Musalman,Female,103
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tharu,Male,196
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tharu,Female,50
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Teli,Male,114
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Teli,Female,120
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Newar,Male,69
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Newar,Female,58
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Rai,Male,46
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Rai,Female,38
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bhote,Male,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bhote,Female,23
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gurung,Male,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gurung,Female,19
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Limbu,Male,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Limbu,Female,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Brahman - Tarai,Male,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Brahman - Tarai,Female,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kalwar,Male,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kalwar,Female,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kurmi,Male,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kurmi,Female,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gharti/Bhujel,Male,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gharti/Bhujel,Female,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Hyolmo,Male,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Hyolmo,Female,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gaine,Male,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gaine,Female,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dhanuk,Male,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dhanuk,Female,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Sunuwar,Male,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Sunuwar,Female,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Koiri/Kushwaha,Male,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Koiri/Kushwaha,Female,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Haluwai,Male,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Haluwai,Female,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dev,Male,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dev,Female,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Others,Male,68
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Others,Female,58
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dalit Others,Male,18758
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dalit Others,Female,22683
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Terai Others,Male,100
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Terai Others,Female,106
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Brahman - Hill,Male,27951
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Brahman - Hill,Female,36806
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Chhetree,Male,15512
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Chhetree,Female,20533
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Magar,Male,15834
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Magar,Female,19750
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kami,Male,9787
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kami,Female,12578
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Sarki,Male,5225
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Sarki,Female,6854
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kumal,Male,3083
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kumal,Female,3679
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Damai/Dholi,Male,2719
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Damai/Dholi,Female,3590
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Newar,Male,2361
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Newar,Female,3167
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Musalman,Male,819
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Musalman,Female,954
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gharti/Bhujel,Male,751
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gharti/Bhujel,Female,924
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Thakuri,Male,521
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Thakuri,Female,622
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Dashnami/Sanyasi,Male,438
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Dashnami/Sanyasi,Female,566
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gurung,Male,421
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gurung,Female,473
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Brahman - Tarai,Male,130
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Brahman - Tarai,Female,174
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Badi,Male,130
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Badi,Female,150
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gaine,Male,128
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gaine,Female,148
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Tharu,Male,174
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Tharu,Female,60
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Tamang,Male,17
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Tamang,Female,43
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kathbaniyan,Male,23
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kathbaniyan,Female,25
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Haluwai,Male,26
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Haluwai,Female,14
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Limbu,Male,23
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Limbu,Female,13
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Lohar,Male,12
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Lohar,Female,20
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Hajam/Thakur,Male,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Hajam/Thakur,Female,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Rai,Male,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Rai,Female,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Majhi,Male,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Majhi,Female,13
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kurmi,Male,11
