District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Caste,Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Nepali,Male,80304
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Nepali,Female,90641
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Achhami,Male,38070
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Achhami,Female,45469
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Magar,Male,515
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Magar,Female,443
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Doteli,Male,193
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Doteli,Female,316
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Maithili,Male,164
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Maithili,Female,59
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tharu,Male,136
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tharu,Female,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bajureli,Male,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bajureli,Female,99
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Hindi,Male,57
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Hindi,Female,19
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tamang,Male,50
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tamang,Female,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Santhali,Male,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Santhali,Female,27
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Baitadeli,Male,35
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Baitadeli,Female,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Urdu,Male,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Urdu,Female,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Newari,Male,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Newari,Female,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kham,Male,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kham,Female,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gurung,Male,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gurung,Female,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bhojpuri,Male,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bhojpuri,Female,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Sign Language,Male,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Sign Language,Female,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bajhangi,Male,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bajhangi,Female,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Rai,Male,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Rai,Female,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Others,Male,286
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Others,Female,289
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Reported,Male,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Not Reported,Female,24
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Nepali,Male,83806
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Nepali,Female,108745
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Magar,Male,1264
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Magar,Female,1407
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kumal,Male,409
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kumal,Female,502
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Newari,Male,199
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Newari,Female,252
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Urdu,Male,175
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Urdu,Female,234
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kham,Male,73
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kham,Female,83
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Tharu,Male,95
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Tharu,Female,20
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Bhojpuri,Male,60
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Bhojpuri,Female,24
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Hindi,Male,40
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Hindi,Female,22
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Avadhi,Male,24
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Avadhi,Female,21
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Maithili,Male,32
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Maithili,Female,10
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Sign Language,Male,12
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Sign Language,Female,10
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Limbu,Male,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Limbu,Female,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Others,Male,38
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Others,Female,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Reported,Male,24
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Not Reported,Female,29
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Nepali,Male,108731
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Nepali,Female,139246
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Magar,Male,6382
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Magar,Female,8251
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kham,Male,577
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kham,Female,725
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Chhantyal,Male,576
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Chhantyal,Female,716
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Newari,Male,604
