District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Language,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,Nepali,34521
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,Nepali,40174
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,Magar,100
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,Magar,118
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,Hindi,134
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,Hindi,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,Limbu,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,Limbu,19
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,Tharu,19
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,Tharu,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,Maithili,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,Maithili,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,Gurung,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,Gurung,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,Others,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,Others,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,No Second Language,85168
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female,No Second Language,97087
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,Nepali,2328
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,Nepali,2496
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,Magar,392
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,Magar,425
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,Newari,336
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,Newari,452
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,Urdu,211
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,Urdu,250
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,Kumal,159
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,Kumal,186
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,Hindi,48
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,Hindi,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,Tharu,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,Tharu,6
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,Maithili,12
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,Maithili,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,Bhojpuri,10
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,Bhojpuri,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,Gurung,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,Gurung,5
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,English,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,English,5
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,Others,19
