District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-group,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,10-14,116
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,15-19,750
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,20-29,5643
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,30-39,7856
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,40-49,7096
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,50-59,5650
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,60-69,4495
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Male,70 years & above,2490
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,10-14,39
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,15-19,231
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,20-29,2763
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,30-39,3708
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,40-49,2707
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,50-59,1517
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,60-69,2105
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  Female,70 years & above,1185
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,10-14,19
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,15-19,170
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,20-29,1892
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,30-39,4098
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,40-49,5727
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,50-59,6325
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,60-69,5078
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Male,70 years & above,3613
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,10-14,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,15-19,308
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,20-29,4679
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,30-39,5798
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,40-49,3818
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,50-59,2275
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,60-69,1980
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  Female,70 years & above,1040
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,10-14,36
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,15-19,283
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,20-29,2860
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,30-39,5821
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,40-49,7514
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,50-59,8515
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,60-69,6643
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,70 years & above,4065
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,10-14,20
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,15-19,441
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,20-29,6101
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,30-39,7587
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,40-49,4725
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,50-59,3049
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,60-69,2476
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,70 years & above,1386
