District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Total,Male,Female
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   0 Yrs.,6740,3433,3307
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   1 Yrs.,5157,2573,2584
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   2 Yrs.,7682,3854,3828
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   3 Yrs.,8063,4122,3941
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   4 Yrs.,8747,4475,4272
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   5 Yrs.,8650,4398,4252
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   6 Yrs.,8325,4184,4141
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   7 Yrs.,7503,3707,3796
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   8 Yrs.,8540,4306,4234
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   9 Yrs.,6697,3360,3337
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  10 Yrs.,8783,4373,4410
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  11 Yrs.,6312,3174,3138
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  12 Yrs.,9293,4741,4552
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  13 Yrs.,7006,3410,3596
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  14 Yrs.,7302,3512,3790
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  15 Yrs.,6267,2980,3287
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  16 Yrs.,6477,2894,3583
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  17 Yrs.,4003,1869,2134
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  18 Yrs.,6769,3047,3722
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  19 Yrs.,3610,1618,1992
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  20 Yrs.,5018,2111,2907
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  21 Yrs.,3470,1520,1950
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  22 Yrs.,4340,1890,2450
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  23 Yrs.,3123,1358,1765
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  24 Yrs.,3372,1377,1995
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  25 Yrs.,4841,1992,2849
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  26 Yrs.,3283,1376,1907
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  27 Yrs.,2694,1269,1425
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  28 Yrs.,4185,1850,2335
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   29 Yrs.,1782,823,959
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   30 Yrs.,5095,1909,3186
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   31 Yrs.,1460,698,762
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   32 Yrs.,2991,1303,1688
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   33 Yrs.,1788,801,987
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   34 Yrs.,1925,799,1126
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   35 Yrs.,5146,2108,3038
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   36 Yrs.,2122,996,1126
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   37 Yrs.,1277,616,661
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   38 Yrs.,2729,1212,1517
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   39 Yrs.,1187,525,662
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   40 Yrs.,4864,1757,3107
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   41 Yrs.,1196,581,615
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   42 Yrs.,1879,868,1011
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   43 Yrs.,1201,576,625
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   44 Yrs.,1045,457,588
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   45 Yrs.,3957,1593,2364
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   46 Yrs.,1362,700,662
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   47 Yrs.,968,468,500
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   48 Yrs.,1943,924,1019
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   49 Yrs.,799,366,433
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   50 Yrs.,3498,1442,2056
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   51 Yrs.,832,448,384
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   52 Yrs.,1378,712,666
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   53 Yrs.,803,428,375
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   54 Yrs.,746,354,392
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   55 Yrs.,2581,1175,1406
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   56 Yrs.,950,493,457
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   57 Yrs.,657,345,312
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   58 Yrs.,1264,592,672
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   59 Yrs.,657,328,329
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   60 Yrs.,3520,1351,2169
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   61 Yrs.,1016,463,553
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   62 Yrs.,1260,540,720
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   63 Yrs.,714,290,424
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   64 Yrs.,634,276,358
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   65 Yrs.,3038,1096,1942
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   66 Yrs.,620,289,331
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   67 Yrs.,556,264,292
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   68 Yrs.,1063,520,543
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   69 Yrs.,356,181,175
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   70 Yrs.,2465,949,1516
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   71 Yrs.,590,253,337
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   72 Yrs.,894,379,515
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   73 Yrs.,400,181,219
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   74 Yrs.,236,108,128
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   75 Yrs.,1310,511,799
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   76 Yrs.,296,150,146
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   77 Yrs.,204,110,94
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   78 Yrs.,361,193,168
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   79 Yrs.,123,72,51
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   80 Yrs.,579,211,368
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   81 Yrs.,128,74,54
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   82 Yrs.,147,79,68
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   83 Yrs.,67,37,30
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   84 Yrs.,84,52,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   85 Yrs.,175,79,96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   86 Yrs.,58,26,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   87 Yrs.,40,25,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   88 Yrs.,51,24,27
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   89 Yrs.,12,4,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   90 Yrs.,62,24,38
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   91 Yrs.,10,4,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   92 Yrs.,12,3,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   93 Yrs.,8,5,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   94 Yrs.,6,4,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   95 Yrs.,19,5,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   96 Yrs.,5,2,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   97 Yrs.,3,0,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   98 Yrs.,7,1,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   99 Yrs.,6,1,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   100 Yrs. and above,8,2,6
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   0 Yrs.,3793,2119,1674
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   1 Yrs.,3731,2010,1721
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   2 Yrs.,4144,2142,2002
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   3 Yrs.,4271,2229,2042
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   4 Yrs.,4855,2535,2320
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   5 Yrs.,4839,2462,2377
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   6 Yrs.,4808,2384,2424
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   7 Yrs.,5299,2673,2626
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   8 Yrs.,5163,2696,2467
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   9 Yrs.,4889,2463,2426
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  10 Yrs.,5818,2940,2878
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  11 Yrs.,5371,2693,2678
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  12 Yrs.,6165,3085,3080
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  13 Yrs.,5636,2735,2901
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  14 Yrs.,5263,2515,2748
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  15 Yrs.,5185,2335,2850
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  16 Yrs.,4595,1994,2601
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  17 Yrs.,4446,1825,2621
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  18 Yrs.,4497,1666,2831
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  19 Yrs.,3142,1036,2106
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  20 Yrs.,3205,1046,2159
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  21 Yrs.,2989,910,2079
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  22 Yrs.,3380,1014,2366
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  23 Yrs.,2683,770,1913
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  24 Yrs.,2635,808,1827
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  25 Yrs.,3208,952,2256
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  26 Yrs.,2515,815,1700
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  27 Yrs.,2472,809,1663
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  28 Yrs.,2573,824,1749
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   29 Yrs.,1775,614,1161
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   30 Yrs.,2918,909,2009
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   31 Yrs.,1585,579,1006
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   32 Yrs.,2219,694,1525
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   33 Yrs.,1655,579,1076
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   34 Yrs.,1608,574,1034
