District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicators,Number
Achham,Seti,Hill,Far-Western,2068/69,2011/12,(Population) Male,120008
Achham,Seti,Hill,Far-Western,2068/69,2011/12,(Population) Female,137469
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Sex ratio,87.3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Population density,153
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,(Population) Male,86266
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,(Population) Female,111366
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Sex ratio,77.5
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Population density,166
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,(Population) Male,117997
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,(Population) Female,150616
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Sex ratio,78.3
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Population density,151
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,(Population) Male,117407
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,(Population) Female,133491
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Sex ratio,88
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Population density,165
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,(Population) Male,92794
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,(Population) Female,102365
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Sex ratio,90.7
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Population density,57
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,(Population) Male,65806
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,(Population) Female,69106
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Sex ratio,95.2
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Population density,62
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,(Population) Male,244255
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,(Population) Female,247058
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Sex ratio,98.9
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Population density,210
Bara,Narayani,Terai,Central,2068/69,2011/12,(Population) Male,351244
