" Age group 
in single year",Gender,Number of people
0 Yrs.,Male,"11,716"
0 Yrs.,Female,"10,338"
1 Yrs.,Male,"11,451"
1 Yrs.,Female,"9,774"
2 Yrs.,Male,"12,064"
2 Yrs.,Female,"10,631"
3 Yrs.,Male,"11,357"
3 Yrs.,Female,"10,174"
4 Yrs.,Male,"12,927"
4 Yrs.,Female,"11,168"
5 Yrs.,Male,"14,298"
5 Yrs.,Female,"12,542"
6 Yrs.,Male,"13,720"
6 Yrs.,Female,"12,235"
7 Yrs.,Male,"14,887"
7 Yrs.,Female,"13,224"
8 Yrs.,Male,"15,845"
8 Yrs.,Female,"13,321"
9 Yrs.,Male,"14,177"
9 Yrs.,Female,"12,913"
10 Yrs.,Male,"17,478"
10 Yrs.,Female,"15,127"
11 Yrs.,Male,"15,466"
11 Yrs.,Female,"13,877"
12 Yrs.,Male,"18,133"
12 Yrs.,Female,"16,047"
13 Yrs.,Male,"17,523"
13 Yrs.,Female,"16,197"
14 Yrs.,Male,"18,866"
14 Yrs.,Female,"16,965"
15 Yrs.,Male,"19,800"
15 Yrs.,Female,"17,258"
16 Yrs.,Male,"20,999"
16 Yrs.,Female,"17,781"
17 Yrs.,Male,"21,370"
17 Yrs.,Female,"17,678"
18 Yrs.,Male,"27,427"
18 Yrs.,Female,"21,250"
19 Yrs.,Male,"21,238"
19 Yrs.,Female,"17,373"
20 Yrs.,Male,"27,707"
20 Yrs.,Female,"23,776"
21 Yrs.,Male,"22,125"
21 Yrs.,Female,"18,883"
22 Yrs.,Male,"26,985"
22 Yrs.,Female,"24,973"
23 Yrs.,Male,"21,519"
23 Yrs.,Female,"21,297"
24 Yrs.,Male,"23,700"
24 Yrs.,Female,"22,829"
25 Yrs.,Male,"25,819"
25 Yrs.,Female,"25,438"
26 Yrs.,Male,"20,340"
26 Yrs.,Female,"20,235"
27 Yrs.,Male,"18,580"
27 Yrs.,Female,"18,859"
28 Yrs.,Male,"23,697"
28 Yrs.,Female,"22,843"
29 Yrs.,Male,"13,901"
29 Yrs.,Female,"12,705"
30 Yrs.,Male,"27,380"
30 Yrs.,Female,"27,172"
31 Yrs.,Male,"11,989"
31 Yrs.,Female,"10,388"
32 Yrs.,Male,"18,639"
32 Yrs.,Female,"17,401"
33 Yrs.,Male,"12,394"
33 Yrs.,Female,"11,868"
34 Yrs.,Male,"13,415"
34 Yrs.,Female,"12,100"
35 Yrs.,Male,"24,084"
35 Yrs.,Female,"22,235"
36 Yrs.,Male,"12,417"
36 Yrs.,Female,"12,031"
37 Yrs.,Male,"10,182"
37 Yrs.,Female,"9,261"
38 Yrs.,Male,"14,534"
38 Yrs.,Female,"13,482"
39 Yrs.,Male,"8,421"
39 Yrs.,Female,"7,374"
40 Yrs.,Male,"22,877"
40 Yrs.,Female,"19,759"
41 Yrs.,Male,"7,313"
41 Yrs.,Female,"5,875"
42 Yrs.,Male,"12,516"
42 Yrs.,Female,"10,253"
43 Yrs.,Male,"7,924"
43 Yrs.,Female,"6,791"
44 Yrs.,Male,"6,996"
44 Yrs.,Female,"6,254"
45 Yrs.,Male,"15,123"
45 Yrs.,Female,"12,779"
46 Yrs.,Male,"7,156"
46 Yrs.,Female,"6,401"
47 Yrs.,Male,"6,143"
47 Yrs.,Female,"4,987"
48 Yrs.,Male,"8,751"
48 Yrs.,Female,"7,751"
49 Yrs.,Male,"5,102"
49 Yrs.,Female,"4,485"
50 Yrs.,Male,"12,781"
50 Yrs.,Female,"11,497"
51 Yrs.,Male,"4,620"
51 Yrs.,Female,"3,585"
52 Yrs.,Male,"6,675"
52 Yrs.,Female,"5,680"
53 Yrs.,Male,"4,223"
53 Yrs.,Female,"3,878"
54 Yrs.,Male,"4,118"
54 Yrs.,Female,"3,697"
55 Yrs.,Male,"7,541"
55 Yrs.,Female,"6,973"
56 Yrs.,Male,"4,307"
56 Yrs.,Female,"4,070"
57 Yrs.,Male,"3,652"
57 Yrs.,Female,"3,064"
58 Yrs.,Male,"4,604"
58 Yrs.,Female,"4,018"
59 Yrs.,Male,"2,687"
