District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age Group,Gender,Population under 16 years of age living with,Number
Achham,Seti,Hill,Far-Western,2068/69,2011/12,,,,
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,,,,
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,,,,
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,,,,
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,,,,
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,,,,
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,,,,
Bara,Narayani,Terai,Central,2068/69,2011/12,,,,
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,,,,
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,,,,
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,,,,
Chitawan,Narayani,Terai,Central,2068/69,2011/12,,,,
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,,,,
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,,,,
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,,,,
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,,,,
Dhading,Bagmati,Hill,Central,2068/69,2011/12,,,,
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,,,,
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,,,,
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,,,,
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,,,,
Doti,Seti,Hill,Far-Western,2068/69,2011/12,,,,
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,,,,
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,,,,
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,,,,
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,,,,
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,,,,
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,,,,
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,,,,
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,,,,
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,,,,
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,,,,
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,,,,
Kaski,Gandaki,Hill,Western,2068/69,2011/12,,,,
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,,,,
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,,,,
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,,,,
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,,,,
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,,,,
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,,,,
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,,,,
Manang,Gandaki,Mountain,Western,2068/69,2011/12,,,,
Morang,Kosi,Terai,Eastern,2068/69,2011/12,,,,
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,,,,
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,,,,
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,,,,
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,,,,
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,,,,
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,,,,
