District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Literacy Status,Gender,Population under 16 years of age living with,Number
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,Male,Parents,1461
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,Male,Mother,196
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,Male,Father,38
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,Male,Father and step mother,16
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,Male,Mother and step father,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,Male,Other relatives,1
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,Male,Employer,16
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,Male,Others,53
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,Male,Not stated,20
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,Male,Parents,15010
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,Male,Mother,2591
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,Male,Father,226
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,Male,Father and step mother,76
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,Male,Mother and step father,6
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,Male,Other relatives,283
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,Male,Employer,16
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,Male,Others,604
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,Male,Not stated,89
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,Male,Parents,1
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,Male,Mother,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,Male,Father,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,Male,Father and step mother,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,Male,Mother and step father,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,Male,Other relatives,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,Male,Employer,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,Male,Others,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,Male,Not stated,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,  Female,Parents,1204
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,  Female,Mother,220
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,  Female,Father,19
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,  Female,Father and step mother,16
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,  Female,Mother and step father,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,  Female,Other relatives,19
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,  Female,Employer,8
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,  Female,Others,19
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Illiterate,  Female,Not stated,7
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,  Female,Parents,15276
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,  Female,Mother,2616
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,  Female,Father,252
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,  Female,Father and step mother,95
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,  Female,Mother and step father,21
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,  Female,Other relatives,269
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,  Female,Employer,12
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,  Female,Others,669
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literate,  Female,Not stated,95
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,  Female,Parents,9
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,  Female,Mother,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,  Female,Father,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,  Female,Father and step mother,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,  Female,Mother and step father,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,  Female,Other relatives,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,  Female,Employer,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,  Female,Others,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Literacy not stated,  Female,Not stated,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,Male,Parents,2317
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,Male,Mother,258
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,Male,Father,17
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,Male,Father and step mother,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,Male,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,Male,Other relatives,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,Male,Employer,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,Male,Others,42
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,Male,Not stated,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,Male,Parents,13353
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,Male,Mother,1395
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,Male,Father,334
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,Male,Father and step mother,50
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,Male,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,Male,Other relatives,200
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,Male,Employer,33
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,Male,Others,317
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,Male,Not stated,33
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,Male,Parents,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,Male,Mother,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,Male,Father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,Male,Father and step mother,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,Male,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,Male,Other relatives,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,Male,Employer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,Male,Others,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,Male,Not stated,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,  Female,Parents,2336
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,  Female,Mother,245
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,  Female,Father,63
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,  Female,Father and step mother,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,  Female,Mother and step father,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,  Female,Other relatives,16
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,  Female,Employer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,  Female,Others,40
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Illiterate,  Female,Not stated,31
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,  Female,Parents,13266
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,  Female,Mother,1589
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,  Female,Father,320
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,  Female,Father and step mother,86
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,  Female,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,  Female,Other relatives,172
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,  Female,Employer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,  Female,Others,484
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literate,  Female,Not stated,102
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,  Female,Parents,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,  Female,Mother,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,  Female,Father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,  Female,Father and step mother,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,  Female,Mother and step father,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,  Female,Other relatives,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,  Female,Employer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,  Female,Others,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Literacy not stated,  Female,Not stated,0
 Panchthar,,,,,,Illiterate,Male,Parents,2589
 Panchthar,,,,,,Illiterate,Male,Mother,430
 Panchthar,,,,,,Illiterate,Male,Father,8
 Panchthar,,,,,,Illiterate,Male,Father and step mother,0
 Panchthar,,,,,,Illiterate,Male,Mother and step father,0
 Panchthar,,,,,,Illiterate,Male,Other relatives,49
 Panchthar,,,,,,Illiterate,Male,Employer,0
 Panchthar,,,,,,Illiterate,Male,Others,90
 Panchthar,,,,,,Illiterate,Male,Not stated,8
 Panchthar,,,,,,Literate,Male,Parents,19997
 Panchthar,,,,,,Literate,Male,Mother,2633
 Panchthar,,,,,,Literate,Male,Father,261
 Panchthar,,,,,,Literate,Male,Father and step mother,147
 Panchthar,,,,,,Literate,Male,Mother and step father,25
 Panchthar,,,,,,Literate,Male,Other relatives,351
 Panchthar,,,,,,Literate,Male,Employer,65
 Panchthar,,,,,,Literate,Male,Others,521
 Panchthar,,,,,,Literate,Male,Not stated,90
 Panchthar,,,,,,Literacy not stated,Male,Parents,0
 Panchthar,,,,,,Literacy not stated,Male,Mother,0
 Panchthar,,,,,,Literacy not stated,Male,Father,0
 Panchthar,,,,,,Literacy not stated,Male,Father and step mother,0
 Panchthar,,,,,,Literacy not stated,Male,Mother and step father,0
 Panchthar,,,,,,Literacy not stated,Male,Other relatives,0
 Panchthar,,,,,,Literacy not stated,Male,Employer,0
 Panchthar,,,,,,Literacy not stated,Male,Others,0
 Panchthar,,,,,,Literacy not stated,Male,Not stated,0
 Panchthar,,,,,,Illiterate,  Female,Parents,2634
 Panchthar,,,,,,Illiterate,  Female,Mother,348
 Panchthar,,,,,,Illiterate,  Female,Father,8
 Panchthar,,,,,,Illiterate,  Female,Father and step mother,0
 Panchthar,,,,,,Illiterate,  Female,Mother and step father,0
 Panchthar,,,,,,Illiterate,  Female,Other relatives,32
 Panchthar,,,,,,Illiterate,  Female,Employer,0
 Panchthar,,,,,,Illiterate,  Female,Others,71
 Panchthar,,,,,,Illiterate,  Female,Not stated,32
 Panchthar,,,,,,Literate,  Female,Parents,19914
 Panchthar,,,,,,Literate,  Female,Mother,2569
 Panchthar,,,,,,Literate,  Female,Father,269
 Panchthar,,,,,,Literate,  Female,Father and step mother,98
 Panchthar,,,,,,Literate,  Female,Mother and step father,8
 Panchthar,,,,,,Literate,  Female,Other relatives,414
 Panchthar,,,,,,Literate,  Female,Employer,49
 Panchthar,,,,,,Literate,  Female,Others,749
 Panchthar,,,,,,Literate,  Female,Not stated,139
 Panchthar,,,,,,Literacy not stated,  Female,Parents,0
 Panchthar,,,,,,Literacy not stated,  Female,Mother,0
 Panchthar,,,,,,Literacy not stated,  Female,Father,0
 Panchthar,,,,,,Literacy not stated,  Female,Father and step mother,0
 Panchthar,,,,,,Literacy not stated,  Female,Mother and step father,0
 Panchthar,,,,,,Literacy not stated,  Female,Other relatives,0
 Panchthar,,,,,,Literacy not stated,  Female,Employer,0
 Panchthar,,,,,,Literacy not stated,  Female,Others,0
 Panchthar,,,,,,Literacy not stated,  Female,Not stated,0
 Ilam,,,,,,Illiterate,  Female,Parents,4593
 Ilam,,,,,,Illiterate,  Female,Mother,395
 Ilam,,,,,,Illiterate,  Female,Father,121
 Ilam,,,,,,Illiterate,  Female,Father and step mother,40
 Ilam,,,,,,Illiterate,  Female,Mother and step father,16
 Ilam,,,,,,Illiterate,  Female,Other relatives,45
 Ilam,,,,,,Illiterate,  Female,Employer,10
 Ilam,,,,,,Illiterate,  Female,Others,164
 Ilam,,,,,,Illiterate,  Female,Not stated,78
 Ilam,,,,,,Literate,  Female,Parents,56856
 Ilam,,,,,,Literate,  Female,Mother,5348
 Ilam,,,,,,Literate,  Female,Father,860
 Ilam,,,,,,Literate,  Female,Father and step mother,263
 Ilam,,,,,,Literate,  Female,Mother and step father,90
 Ilam,,,,,,Literate,  Female,Other relatives,938
 Ilam,,,,,,Literate,  Female,Employer,50
 Ilam,,,,,,Literate,  Female,Others,1975
 Ilam,,,,,,Literate,  Female,Not stated,409
 Ilam,,,,,,Literacy not stated,  Female,Parents,24
 Ilam,,,,,,Literacy not stated,  Female,Mother,8
 Ilam,,,,,,Literacy not stated,  Female,Father,0
 Ilam,,,,,,Literacy not stated,  Female,Father and step mother,0
 Ilam,,,,,,Literacy not stated,  Female,Mother and step father,0
 Ilam,,,,,,Literacy not stated,  Female,Other relatives,0
 Ilam,,,,,,Literacy not stated,  Female,Employer,0
 Ilam,,,,,,Literacy not stated,  Female,Others,0
 Ilam,,,,,,Literacy not stated,  Female,Not stated,0
 Ilam,,,,,,Illiterate,Male,Parents,2272
 Ilam,,,,,,Illiterate,Male,Mother,202
 Ilam,,,,,,Illiterate,Male,Father,66
 Ilam,,,,,,Illiterate,Male,Father and step mother,24
 Ilam,,,,,,Illiterate,Male,Mother and step father,16
 Ilam,,,,,,Illiterate,Male,Other relatives,36
 Ilam,,,,,,Illiterate,Male,Employer,8
 Ilam,,,,,,Illiterate,Male,Others,90
 Ilam,,,,,,Illiterate,Male,Not stated,57
 Ilam,,,,,,Literate,Male,Parents,28645
 Ilam,,,,,,Literate,Male,Mother,2696
 Ilam,,,,,,Literate,Male,Father,466
 Ilam,,,,,,Literate,Male,Father and step mother,71
 Ilam,,,,,,Literate,Male,Mother and step father,34
 Ilam,,,,,,Literate,Male,Other relatives,492
 Ilam,,,,,,Literate,Male,Employer,29
 Ilam,,,,,,Literate,Male,Others,925
 Ilam,,,,,,Literate,Male,Not stated,196
 Ilam,,,,,,Literacy not stated,Male,Parents,16
 Ilam,,,,,,Literacy not stated,Male,Mother,0
 Ilam,,,,,,Literacy not stated,Male,Father,0
 Ilam,,,,,,Literacy not stated,Male,Father and step mother,0
 Ilam,,,,,,Literacy not stated,Male,Mother and step father,0
 Ilam,,,,,,Literacy not stated,Male,Other relatives,0
 Ilam,,,,,,Literacy not stated,Male,Employer,0
 Ilam,,,,,,Literacy not stated,Male,Others,0
 Ilam,,,,,,Literacy not stated,Male,Not stated,0
 Ilam,,,,,,Illiterate,  Female,Parents,2321
 Ilam,,,,,,Illiterate,  Female,Mother,193
 Ilam,,,,,,Illiterate,  Female,Father,55
 Ilam,,,,,,Illiterate,  Female,Father and step mother,16
 Ilam,,,,,,Illiterate,  Female,Mother and step father,0
 Ilam,,,,,,Illiterate,  Female,Other relatives,9
 Ilam,,,,,,Illiterate,  Female,Employer,2
 Ilam,,,,,,Illiterate,  Female,Others,74
 Ilam,,,,,,Illiterate,  Female,Not stated,21
 Ilam,,,,,,Literate,  Female,Parents,28211
 Ilam,,,,,,Literate,  Female,Mother,2651
 Ilam,,,,,,Literate,  Female,Father,394
 Ilam,,,,,,Literate,  Female,Father and step mother,193
 Ilam,,,,,,Literate,  Female,Mother and step father,55
 Ilam,,,,,,Literate,  Female,Other relatives,446
 Ilam,,,,,,Literate,  Female,Employer,20
 Ilam,,,,,,Literate,  Female,Others,1050
 Ilam,,,,,,Literate,  Female,Not stated,213
 Ilam,,,,,,Literacy not stated,  Female,Parents,8
 Ilam,,,,,,Literacy not stated,  Female,Mother,8
 Ilam,,,,,,Literacy not stated,  Female,Father,0
 Ilam,,,,,,Literacy not stated,  Female,Father and step mother,0
 Ilam,,,,,,Literacy not stated,  Female,Mother and step father,0
 Ilam,,,,,,Literacy not stated,  Female,Other relatives,0
 Ilam,,,,,,Literacy not stated,  Female,Employer,0
 Ilam,,,,,,Literacy not stated,  Female,Others,0
 Ilam,,,,,,Literacy not stated,  Female,Not stated,0
 Jhapa,,,,,,Illiterate,Male,Parents,6596
 Jhapa,,,,,,Illiterate,Male,Mother,599
 Jhapa,,,,,,Illiterate,Male,Father,133
 Jhapa,,,,,,Illiterate,Male,Father and step mother,8
 Jhapa,,,,,,Illiterate,Male,Mother and step father,16
 Jhapa,,,,,,Illiterate,Male,Other relatives,26
 Jhapa,,,,,,Illiterate,Male,Employer,17
 Jhapa,,,,,,Illiterate,Male,Others,176
 Jhapa,,,,,,Illiterate,Male,Not stated,66
 Jhapa,,,,,,Literate,Male,Parents,76648
 Jhapa,,,,,,Literate,Male,Mother,8636
 Jhapa,,,,,,Literate,Male,Father,1248
 Jhapa,,,,,,Literate,Male,Father and step mother,181
 Jhapa,,,,,,Literate,Male,Mother and step father,66
 Jhapa,,,,,,Literate,Male,Other relatives,1191
 Jhapa,,,,,,Literate,Male,Employer,139
 Jhapa,,,,,,Literate,Male,Others,2313
 Jhapa,,,,,,Literate,Male,Not stated,401
