District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age group,Gender,Population having disability of,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Male,Total Population,18457
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Male,Population without disability,18296
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Male,Physical,61
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Male,Blindness/ low vision,49
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Male,Deaf / hard to hearing,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Male,Deaf–blind,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Male,Speech problem,19
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Male,Mental disable,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Male,Intellectual disable,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 04 Years,Male,Multiple Misable,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Male,Total Population,19955
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Male,Population without disability,19516
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Male,Physical,207
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Male,Blindness/ low vision,44
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Male,Deaf / hard to hearing,70
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Male,Deaf–blind,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Male,Speech problem,51
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Male,Mental disable,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Male,Intellectual disable,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,05 - 09 Years,Male,Multiple Misable,30
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Total Population,19210
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Population without disability,18608
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Physical,288
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Blindness/ low vision,66
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Deaf / hard to hearing,115
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Deaf–blind,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Speech problem,63
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Mental disable,20
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Intellectual disable,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Multiple Misable,29
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Total Population,12408
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Population without disability,12028
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Physical,202
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Blindness/ low vision,39
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Deaf / hard to hearing,57
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Deaf–blind,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Speech problem,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Mental disable,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Intellectual disable,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Multiple Misable,22
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Total Population,8256
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Population without disability,8042
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Physical,105
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Blindness/ low vision,26
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Deaf / hard to hearing,26
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Deaf–blind,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Speech problem,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Mental disable,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Intellectual disable,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Multiple Misable,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Total Population,7310
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Population without disability,7078
