District,Zone,Geographical Region,Development Region,Under five population
Taplejung,Mechi,Mountain,Eastern,18918
Panchthar,Mechi,Hill,Eastern,28450
Ilam,Mechi,Hill,Eastern,33852
Jhapa,Mechi,Terai,Eastern,79827
Morang,Kosi,Terai,Eastern,103383
Sunsari,Kosi,Terai,Eastern,84009
Dhankuta,Kosi,Hill,Eastern,20516
Terhathum,Kosi,Hill,Eastern,14083
Sankhuwasabha,Kosi,Mountain,Eastern,21048
Bhojpur,Kosi,Hill,Eastern,24972
Solukhumbu,Sagarmatha,Mountain,Eastern,14125
Okhaldhunga,Sagarmatha,Hill,Eastern,22162
Khotang,Sagarmatha,Hill,Eastern,33392
Udayapur,Sagarmatha,Hill,Eastern,42257
Saptari,Sagarmatha,Terai,Eastern,80403
Siraha,Sagarmatha,Terai,Eastern,84717
Dhanusa,Janakpur,Terai,Central,100945
Mahottari,Janakpur,Terai,Central,84245
Sarlahi,Janakpur,Terai,Central,98783
Sindhuli,Janakpur,Hill,Central,43511
Ramechhap,Janakpur,Hill,Central,29994
Dolakha,Janakpur,Mountain,Central,25366
Sindhupalchok,Bagmati,Mountain,Central,39695
Kavre,Bagmati,Hill,Central,48307
Lalitpur,Bagmati,Hill,Central,29768
Bhaktapur,Bagmati,Hill,Central,20717
Kathmandu,Bagmati,Hill,Central,138853
Nuwakot,Bagmati,Hill,Central,36495
Rasuwa,Bagmati,Mountain,Central,5850
Dhading,Bagmati,Hill,Central,47860
Makwanpur,Narayani,Hill,Central,55321
Rautahat,Narayani,Terai,Central,88886
Bara,Narayani,Terai,Central,90192
Parsa,Narayani,Terai,Central,77527
Chitawan,Narayani,Terai,Central,56765
Gorkha,Gandaki,Hill,Western,37089
Lamjung,Gandaki,Hill,Western,21603
Tanahu,Gandaki,Hill,Western,41526
Syangja,Gandaki,Hill,Western,43007
Kaski,Gandaki,Hill,Western,43146
Manang,Gandaki,Mountain,Western,704
Mustang,Dhawalagiri,Mountain,Western,1283
Myagdi,Dhawalagiri,Hill,Western,16572
Parbat,Dhawalagiri,Hill,Western,20846
Baglung,Dhawalagiri,Hill,Western,38509
Gulmi,Lumbini,Hill,Western,43190
Palpa,Lumbini,Hill,Western,37959
Nawalparasi,Lumbini,Terai,Western,79119
Rupandehi,Lumbini,Terai,Western,100333
Kapilbastu,Lumbini,Terai,Western,73384
Arghakhanchi,Lumbini,Hill,Western,30280
Pyuthan,Rapti,Hill,Mid-Western,36120
Rolpa,Rapti,Hill,Mid-Western,35237
Rukum,Rapti,Hill,Mid-Western,26862
Salyan,Rapti,Hill,Mid-Western,40032
Dang,Rapti,Terai,Mid-Western,68539
Banke,Bheri,Terai,Mid-Western,56114
Bardiya,Bheri,Terai,Mid-Western,54822
Surkhet,Bheri,Hill,Mid-Western,44632
Dailekh,Bheri,Hill,Mid-Western,40026
Jajarkot,Bheri,Hill,Mid-Western,19655
Dolpa,Karnali,Mountain,Mid-Western,4342
Jumla,Karnali,Mountain,Mid-Western,13932
Kalikot,Karnali,Mountain,Mid-Western,16953
Mugu,Karnali,Mountain,Mid-Western,7631
Humla,Karnali,Mountain,Mid-Western,6954
Bajura,Seti,Mountain,Far-Western,18726
Bajhang,Seti,Mountain,Far-Western,29206
Achham,Seti,Hill,Far-Western,41110
Doti,Seti,Hill,Far-Western,33033
Kailali,Seti,Terai,Far-Western,95518
Kanchanpur,Mahakali,Terai,Far-Western,59501
Dadeldhura,Mahakali,Hill,Far-Western,20633
Baitadi,Mahakali,Hill,Far-Western,36011
Darchaula,Mahakali,Mountain,Far-Western,18474
