District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Occupation,Gender,Status of employment,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Armed Forces,Male,Employer,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Armed Forces,Male,Employee,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Armed Forces,Male,Own account holder,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Armed Forces,Male,Unpaid family worker,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Armed Forces,Male,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Managers,Male,Employer,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Managers,Male,Employee,106
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Managers,Male,Own account holder,161
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Managers,Male,Unpaid family worker,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Managers,Male,Not stated,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Professionals,Male,Employer,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Professionals,Male,Employee,1855
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Professionals,Male,Own account holder,178
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Professionals,Male,Unpaid family worker,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Professionals,Male,Not stated,105
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Technicians and associate Prof.,Male,Employer,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Technicians and associate Prof.,Male,Employee,553
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Technicians and associate Prof.,Male,Own account holder,72
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Technicians and associate Prof.,Male,Unpaid family worker,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Technicians and associate Prof.,Male,Not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Office assistance,Male,Employer,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Office assistance,Male,Employee,599
